,Butterworth railway station,Bangkok railway station,Kunming Train station,Chongqing train station,Shanghai train station,Wuxi train station,Shenzhen train station,Guangzhou train station,Saigon railway station,Hanoi railway station
Butterworth railway station,-,33.87878788,74.78787879,212.1818182,266.3333333,265.5454545,197.4848485,191.4545455,55.03030303,64.03030303
Bangkok railway station,33.87878788,-,45.81818182,146.5757576,202.8484848,202.8181818,134,128,25.84848485,34.54545455
Kunming Train station,74.78787879,45.81818182,-,59,152.8787879,158.7878788,99.24242424,93.24242424,64.51515152,19.54545455
Chongqing train station,212.1818182,146.5757576,59,-,94.27272727,85.90909091,81.36363636,73.75757576,81.93939394,75.06060606
Shanghai train station,266.3333333,202.8484848,152.8787879,94.27272727,-,8.242424242,113.1515152,96.45454545,219.2727273,129.3333333
Wuxi train station,265.5454545,202.8181818,158.7878788,85.90909091,8.242424242,-,106.1515152,99.06060606,219.2424242,129.3030303
Shenzhen train station,197.4848485,134,99.24242424,81.36363636,113.1515152,106.1515152,-,9.393939394,150.4545455,60.48484848
Guangzhou train station,191.4545455,128,93.24242424,73.75757576,96.45454545,99.06060606,9.393939394,-,144.4242424,54.48484848
Saigon railway station,55.03030303,25.84848485,64.51515152,81.93939394,219.2727273,219.2424242,150.4545455,144.4242424,-,47.90909091
Hanoi railway station,64.03030303,34.54545455,19.54545455,75.06060606,129.3333333,129.3030303,60.48484848,54.48484848,47.90909091,-
